country,city,bar,address,phone,email ,website,remarks,redbar
Afghanistan,Kabul,Serena Hotel,Froshgah Street  Kabul City,93-799654000,,,,n
Afghanistan,Kabul,Sizzlers Restaurant,Liege Street  Kabul,,,,Sat TV,n
Albania,Tirana,Cheers,Rr. Pjetër Bogdani 39/1,,,,,n
Albania,Tirana,Irish Bar Tirana,Rr. Pjeter Bogdani,,,,An Irish bar in Tirana's Bllok area  with TV screens showing football,n
Albania,Tirana,Murphy’s Irish Pub,Rr. Abdyl Frasheri  in front of the Croatian Embassy Tirana,038 20 37 854 ,,,,n
Albania,Tirana,New London Bar,,,,,Large plasma screen  Sat TV,n
Algeria,Algiers,Oasis,172 Rue Hassiba Benbouali  16015 Algiers  Algiers Province  Algeria,+213 (0) 21 68 52 10 ,,,,n
Algeria,Algiers,Sheraton Club Des Pins Resort,Staoeli Boite Postal 62  Algiers  Algeria,,,,,n
Andorra,Andorra,The Derby,Carretera General 17  Arinsal La Massana  AD400  Principality of Andorra,+ 376 835706,info@thederbyirishbar.com,,,n
Andorra,Andorra,Piccadilly,In the Sport Hotel  Carretera General S/n Soldeu AD100 ,,,,,n
Andorra,Andorra,Ryan's,St. Julian's Bay  Andorra, + 356 21350680,,,,n
Angola,Luanda,Esplanada,183 - 184 Avenue 4 Fevereiro  Luanda  Luanda Province  Angola,,,,,n
Angola,Luanda,Paolo's,downtown Luanda  Angola,,,,New  huge screen,n
Angola,Luanda,The Royal Pub,downtown Luanda  Angola,,,,Typical seedy bar  full of prostitutes  oil workers and sports on the TVs,n
Anguilla,Anguilla,Ripples Restaurant,Road Bay  Sandy Ground  Anguilla,264-497-3380,,,This is where the island's British expats heads for to watch the football on the flat screen plasma TVs,n
Antarctica,Antarctica,Vernadsky Research Station Bar,located on Galindez Island in the Argentine Islands. ,,,,Cold beer guaranteed and satellite sports TV! An English/Ukranian pub with a fine collection of bras behind the bar (visiting women have to surrender the one they are wearing)!,n
Antigua & Barbuda,Antigua & Barbuda,Bambu Strip,Cedar Grove Main Road  St. John's  Antigua,+1 268 460 5199,,,Expat hangout  very busy at weekends and for big games,n
Antigua & Barbuda,Antigua & Barbuda,BBR,Jolly Harbour,,,,Recenly reopened  refurbished with cable TV and plenty of screens,n
Antigua & Barbuda,Antigua & Barbuda,Bee Hive,Heritage Quay  St Johns,,,,,y
Antigua & Barbuda,Antigua & Barbuda,Conor’s Sports bar,Inside the Rush Entertainment Complex on Runaway Bay  Antigua,268 562-7874,,,Great bar  loads of screens all around the bar,n
Antigua & Barbuda,Antigua & Barbuda,Gladiator Sports Bar,The Casino  Jolly Harbour,,,,,n
Antigua & Barbuda,Antigua & Barbuda,The Mad Mongoose ,Just across from the water of Falmouth Harbour,,,,Bar with satellite TV and pool table.,n
Antigua & Barbuda,Antigua & Barbuda,O'Grady's Pub,Lower Redcliffe Street  St John's  Antigua,,,,,n
Antigua & Barbuda,Antigua & Barbuda,Putters Bar & Grill,Dickenson Bay,463 4653 ,,,There are pool tables and a sports on TV. Attracts a regular crowd of ex-pats.,n
Antigua & Barbuda,Antigua & Barbuda,Steely Bar & Restaurant,Jolly Harbour,462 6260 ,,,Casual  lively bar with large screen satellite TV for sports events ,n
Antigua & Barbuda,Antigua & Barbuda,Sticky Wicket,Antigua Airport,,,,ir-conditioned sports and cocktail bar overlooking the Stanford Cricket Ground at the airport.,n
